resultsFileName : 2016-01-15_linux_v1.0.4_node-v0.12.7_all_1452888917988.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 10      100      100      100  743.624 925.144 979.397 980.212 100.459   0.074   0.093 100.000   1.000   filter_k100to100_m100_v100to100                                            
 12      100      100       10   62.282 528.965 531.824 532.531 199.336   0.062   0.529  52.000   0.520   filter_k10to100_m50_v100to100                                              
  5     1000     1000       10  533.592 123.361 319.919 909.894 386.407   0.153   0.212  50.600   0.051   filter_k10to100_m50_v1kto1k                                                
 30     1000      100        1    2.295  22.167 443.863 464.400  78.608   0.023   0.222  81.900   1.936   filter_k1to100_charDotStar_v1kto100                                        
 26     1000    10000        1  004.259 624.184 908.847 001.855 460.369   0.200   0.262 100.000   1.910   filter_k1to100_charDotStar_v1kto10k                                        
 27     1000     1000        1   91.182 557.149 577.613 131.435 192.209   0.091   0.557 100.000   1.919   filter_k1to100_charDotStar_v1kto1k                                         
 24      100      100        1    1.474  19.907  32.893  39.566   8.654   0.015   0.199  49.000   0.490   filter_k1to100_m50_v100to100                                               
  2     1000     1000        1  159.704 465.274 508.654 646.961 124.685   0.160   0.465  48.000   0.048   filter_k1to100_m50_v1kto1k                                                 
 46      100      100        1    1.485  17.871 528.194 724.774  78.461   0.015   0.179  47.000   3.520   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
  1     1000     1000        1  160.140 344.382 369.213 730.621  75.274   0.160   0.344  48.600   5.264   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
  3      100      100        1    1.042  37.753 391.061 406.169  64.977   0.010   0.378  55.000   0.550   filter_k1to1_pWord_tWord_m50_v100to100                                     
 11     1000     1000        1   55.665 415.976 436.071 682.077 151.549   0.056   0.416  51.700   0.052   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 32      100        1        1    0.050   0.082  10.257  16.404   1.627   0.050   0.082  49.000  49.000   matchSimple_k1to100_m50_v100to100                                          
 23    10000        1        1    0.052   0.091  16.434 403.739  14.400   0.052   0.091  50.180  50.180   matchSimple_k1to100_m50_v10kto10k                                          
 37     1000        1        1    0.051   0.075  16.348 102.761   3.791   0.051   0.075  48.000  48.000   matchSimple_k1to100_m50_v1kto1k                                            
 15      100        1        1    0.036   0.047  10.198  16.270   1.615   0.036   0.047  55.000  55.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
  9    10000        1        1    0.036   0.051   0.278  33.800   1.450   0.036   0.051  49.850  49.850   matchSimple_k1to1_pWord_tWord_m50_v10kto10k                                
 31     1000        1        1    0.037   0.054  10.417 260.027   8.355   0.037   0.054  51.600  51.600   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 38      100        1      100    1.686  22.207 134.171 141.168  24.654   0.017   0.222 100.000 100.000   match_k100to100_m100_v100to100                                             
 44    10000        1      100    1.795  18.143  92.350 109.862  27.232   0.018   0.181 100.000 100.000   match_k100to100_m100_v10kto10k                                             
 20     1000        1      100    1.699  18.186 138.325 248.084  23.092   0.017   0.182 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 43      100        1       10    0.177  16.429  16.499  16.510   3.868   0.018   1.643  52.000  52.000   match_k10to100_m50_v100to100                                               
  7    10000        1       10    0.188  12.373  16.507  35.124   3.231   0.019   1.237  50.580  50.580   match_k10to100_m50_v10kto10k                                               
 14     1000        1       10    0.178   0.276  16.519 121.092   5.053   0.018   0.028  50.600  50.600   match_k10to100_m50_v1kto1k                                                 
 17      100        1        1    0.024   0.039   7.694  12.325   1.224   0.024   0.039  49.000  49.000   match_k1to100_m50_v100to100                                                
  4    10000        1        1    0.025   0.039   0.077 310.200   3.383   0.025   0.039  50.180  50.180   match_k1to100_m50_v10kto10k                                                
 39     1000        1        1    0.023   0.036   0.152 163.923   7.371   0.023   0.036  48.000  48.000   match_k1to100_m50_v1kto1k                                                  
  8      100        1        1    0.014   0.017   0.032   0.034   0.003   0.014   0.017  51.000  51.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 21     1000        1        1    0.014   0.027   0.066 122.982   4.037   0.014   0.027  49.600  49.600   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
 42      100        1        1    0.014   0.024   0.037   0.039   0.004   0.014   0.024  55.000  55.000   match_k1to1_pString_tString_m50_v100to100                                  
 33   100000        1        1    0.014   0.023   0.040 283.274   4.087   0.014   0.023  49.904  49.904   match_k1to1_pString_tString_m50_v10kto10k                                  
 28     1000        1        1    0.014   0.020   0.038 225.279   7.191   0.014   0.020  52.300  52.300   match_k1to1_pString_tString_m50_v1kto1k                                    
 16      100        1        1    0.014   0.026   0.039   0.044   0.004   0.014   0.026  55.000  55.000   match_k1to1_pWord_tWord_m50_v100to100                                      
  0    10000        1        1    0.013   0.026   0.151  77.163   3.857   0.013   0.026  49.850  49.850   match_k1to1_pWord_tWord_m50_v10kto10k                                      
 35     1000        1        1    0.013   0.026   0.035 263.122   8.393   0.013   0.026  51.600  51.600   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 45      100        1        1    0.026   0.051   7.717  12.317   1.222   0.026   0.051  47.000  47.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 34    10000        1        1    0.024   0.053   0.135 263.944   3.857   0.024   0.053  50.010  50.010   regMatch_k1to1_pRegDotStar_tWord_m50_v10kto10k                             
  6     1000        1        1    0.026   0.062   8.425 233.733   7.503   0.026   0.062  48.600  48.600   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 41      100        1        1    0.035   0.055   7.667  12.256   1.216   0.035   0.055  44.000  44.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 29    10000        1        1    0.036   0.051   0.108 244.033   5.459   0.036   0.051  42.680  42.680   regMatch_k1to1_pRegDot_tWord_m50_v10kto10k                                 
 40     1000        1        1    0.036   0.048   0.094  16.323   1.313   0.036   0.048  42.700  42.700   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 22      100        1        1    0.020   0.035  10.153  16.279   1.618   0.020   0.035  52.000  52.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
