resultsFileName : 2016-01-16_linux_v1.0.4_node-v0.12.7_all_1452959435828.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 29      100      100      100  355.969 461.437 607.341 688.591  54.590   0.036   0.046 100.000   1.000   filter_k100to100_m100_v100to100                                            
 20      100      100       11   19.905  52.899  54.409  54.736  15.139   0.018   0.048  54.000   0.540   filter_k10to100_m50_v100to100                                              
 37     1000     1000       11  523.434 076.525 238.183 156.037 329.015   0.138   0.189  52.000   0.052   filter_k10to100_m50_v1kto1k                                                
 22     1000      100        1    2.174  10.555  26.222 440.181  14.604   0.022   0.106  79.800   2.155   filter_k1to100_charDotStar_v1kto100                                        
 35     1000    10000        1  934.509 523.222 705.121 775.487 380.796   0.193   0.252 100.000   2.141   filter_k1to100_charDotStar_v1kto10k                                        
 31     1000     1000        1   92.820 345.223 397.351 116.561 102.679   0.093   0.345 100.000   2.144   filter_k1to100_charDotStar_v1kto1k                                         
 14      100      100        1    1.331   9.653  70.055  81.099  11.533   0.013   0.097  54.000   0.540   filter_k1to100_m50_v100to100                                               
 30     1000     1000        1   70.843 343.218 361.067 432.811 116.341   0.071   0.343  53.300   0.053   filter_k1to100_m50_v1kto1k                                                 
 15      100      100        1    1.476   9.783  49.997  50.161   8.040   0.015   0.098  59.000   5.420   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 25     1000     1000        1   23.245  63.233  71.486  73.445  15.956   0.023   0.063  49.400   5.240   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 36      100      100        1    1.132  17.682 429.256 429.382  82.427   0.011   0.177  49.000   0.490   filter_k1to1_pWord_tWord_m50_v100to100                                     
 28     1000     1000        1   19.190  82.816  93.982 279.053  29.701   0.019   0.083  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
  4      100        1        1    0.049   0.069   0.113   0.122   0.011   0.049   0.069  54.000  54.000   matchSimple_k1to100_m50_v100to100                                          
  1    10000        1        1    0.050   0.067   0.781 265.590   2.684   0.050   0.067  49.590  49.590   matchSimple_k1to100_m50_v10kto10k                                          
  0     1000        1        1    0.051   0.066   0.229   2.317   0.116   0.051   0.066  53.300  53.300   matchSimple_k1to100_m50_v1kto1k                                            
 23      100        1        1    0.038   0.060   0.161   0.183   0.018   0.038   0.060  49.000  49.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 42    10000        1        1    0.045   0.063  12.309 382.249   9.232   0.045   0.063  49.850  49.850   matchSimple_k1to1_pWord_tWord_m50_v10kto10k                                
  2     1000        1        1    0.036   0.042   0.052   2.713   0.087   0.036   0.042  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
  9      100        1      100    1.692   9.946  45.104  49.624   6.347   0.017   0.099 100.000 100.000   match_k100to100_m100_v100to100                                             
  8    10000        1      100    1.669   9.907  29.788 200.351   6.018   0.017   0.099 100.000 100.000   match_k100to100_m100_v10kto10k                                             
 10     1000        1      100    1.701   9.942  47.963  48.831   7.899   0.017   0.099 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 21      100        1       11    0.179   0.262  18.360  24.425   2.538   0.016   0.024  54.000  54.000   match_k10to100_m50_v100to100                                               
 18    10000        1       10    0.187   0.256   8.344  30.118   1.265   0.019   0.026  49.430  49.430   match_k10to100_m50_v10kto10k                                               
  3     1000        1       11    0.175   0.219   0.291   6.588   0.267   0.016   0.020  52.000  52.000   match_k10to100_m50_v1kto1k                                                 
 34      100        1        1    0.024   0.040   0.053   0.060   0.007   0.024   0.040  54.000  54.000   match_k1to100_m50_v100to100                                                
 32    10000        1        1    0.025   0.040   0.078 141.395   2.310   0.025   0.040  49.590  49.590   match_k1to100_m50_v10kto10k                                                
 19     1000        1        1    0.025   0.034   0.043   8.175   0.258   0.025   0.034  53.300  53.300   match_k1to100_m50_v1kto1k                                                  
 39      100        1        1    0.019   0.037   0.520   0.804   0.078   0.019   0.037  46.000  46.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
