resultsFileName : 2016-01-22_linux_v1.0.6_node-v5.4.1_all_1453430365109.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 40      100      100      100  666.206 722.361 795.634 835.512  36.279   0.067   0.072 100.000   1.000   filter_k100to100_m100_v100to100                                            
 16      100      100       10    8.744  11.865  16.944  16.961   1.704   0.009   0.012  54.000   0.540   filter_k10to100_m50_v100to100                                              
 39     1000     1000       11  694.362 803.517 037.792 088.838 162.126   0.063   0.073  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 21     1000      100        1    1.301   1.797   4.841   9.132   0.670   0.013   0.018  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 29     1000    10000        1  311.367 840.566 068.628 724.156 205.731   0.031   0.084 100.000   1.901   filter_k1to100_charDotStar_v1kto10k                                        
 32     1000     1000        1   57.509 196.025 203.688 837.234  61.343   0.058   0.196 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
  6      100      100        1    0.999   2.382  25.423  36.867   3.610   0.010   0.024  56.000   0.560   filter_k1to100_m50_v100to100                                               
 14     1000     1000        1   11.152  15.275  22.666 560.799  17.482   0.011   0.015  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
  1      100      100        1    0.800   1.981   3.388   3.755   0.470   0.008   0.020  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 17     1000     1000        1    8.139  11.643  18.496  64.683   2.748   0.008   0.012  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
  7      100      100        1    0.701   0.930   3.378   3.424   0.448   0.007   0.009  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 43     1000     1000        1   35.899 197.734 218.720 493.418  99.919   0.036   0.198  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 10      100        1        1    0.065   0.092   0.209   0.231   0.022   0.065   0.092  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
  8    10000        1        1    0.067   0.082   0.102   9.171   0.209   0.067   0.082  50.020  50.020   matchSimple_k1to100_m50_v10kto10k                                          
  3     1000        1        1    0.067   0.091   0.137   7.528   0.239   0.067   0.091  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 27      100        1        1    0.054   0.079   0.120   0.124   0.012   0.054   0.079  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 23    10000        1        1    0.055   0.065   0.108  13.985   0.575   0.055   0.065  50.630  50.630   matchSimple_k1to1_pWord_tWord_m50_v10kto10k                                
 25     1000        1        1    0.055   0.078   0.207   8.265   0.599   0.055   0.078  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 22      100        1      100    1.056   1.349   9.261   9.272   1.435   0.011   0.013 100.000 100.000   match_k100to100_m100_v100to100                                             
 42    10000        1      100    1.098  17.479  25.551 626.015  37.388   0.011   0.175 100.000 100.000   match_k100to100_m100_v10kto10k                                             
 36     1000        1      100    1.103  17.435  20.001  29.140   6.730   0.011   0.174 100.000 100.000   match_k100to100_m100_v1kto1k                                               
  5      100        1       10    0.121   0.179   3.279   4.999   0.487   0.012   0.018  54.000  54.000   match_k10to100_m50_v100to100                                               
 12    10000        1       10    0.119   0.142   0.171  11.635   0.273   0.012   0.014  49.910  49.910   match_k10to100_m50_v10kto10k                                               
 34     1000        1       11    0.139   0.444  16.545 475.002  15.342   0.013   0.040  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 15      100        1        1    0.015   0.027   0.035   0.039   0.005   0.015   0.027  56.000  56.000   match_k1to100_m50_v100to100                                                
 37    10000        1        1    0.015   0.029   0.506  16.802   1.177   0.015   0.029  50.020  50.020   match_k1to100_m50_v10kto10k                                                
 24     1000        1        1    0.015   0.026   0.041   8.162   0.429   0.015   0.026  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
  9      100        1        1    0.008   0.010   0.022   0.024   0.002   0.008   0.010  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 35     1000        1        1    0.008   0.010   0.021  16.332   0.645   0.008   0.010  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
 26      100        1        1    0.008   0.009   0.022   0.023   0.002   0.008   0.009  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 18   100000        1        1    0.007   0.011   0.024   8.165   0.066   0.007   0.011  50.153  50.153   match_k1to1_pString_tString_m50_v10kto10k                                  
 33     1000        1        1    0.007   0.009   0.019  16.267   0.514   0.007   0.009  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 44      100        1        1    0.008   0.010   0.026   0.031   0.003   0.008   0.010  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
