resultsFileName : 2016-01-22_linux_v1.0.6_node-v5.4.1_all_1453429459694.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
  4      100      100      100   89.058 124.925 188.341 193.112  18.053   0.009   0.012 100.000   1.000   filter_k100to100_m100_v100to100                                            
 37      100      100       10    9.006  61.736  63.400  63.620  22.132   0.009   0.062  54.000   0.540   filter_k10to100_m50_v100to100                                              
 34     1000     1000       11  155.259 179.284 322.007 489.005  31.498   0.014   0.016  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 19     1000      100        1    1.243   1.702  38.711  45.921   6.890   0.012   0.017  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
  5     1000    10000        1  170.274 209.839 239.969 459.697  32.067   0.017   0.021 100.000   1.901   filter_k1to100_charDotStar_v1kto10k                                        
 27     1000     1000        1   16.556  77.572  86.517 327.649  27.826   0.017   0.078 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
  6      100      100        1    0.968   1.196  44.059  44.230   7.300   0.010   0.012  56.000   0.560   filter_k1to100_m50_v100to100                                               
 26     1000     1000        1   11.497  56.951  60.187  69.343  17.989   0.011   0.057  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 22      100      100        1    0.849   2.135  46.114  46.310   7.413   0.008   0.021  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 16     1000     1000        1    8.268  41.231  44.036 510.332  20.554   0.008   0.041  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 21      100      100        1    0.727   1.403  40.875  41.204   6.768   0.007   0.014  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 39     1000     1000        1    7.357  33.416  35.737 382.633  15.468   0.007   0.033  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 45      100        1        1    0.069   0.087   0.214   0.248   0.021   0.069   0.087  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 38    10000        1        1    0.070   0.085   0.104   7.242   0.143   0.070   0.085  50.020  50.020   matchSimple_k1to100_m50_v10kto10k                                          
 46     1000        1        1    0.070   0.081   0.109   7.487   0.235   0.070   0.081  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
  2      100        1        1    0.015   0.018   0.174   0.258   0.024   0.015   0.018  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 32    10000        1        1    0.016   0.027   0.029   1.869   0.030   0.016   0.027  50.630  50.630   matchSimple_k1to1_pWord_tWord_m50_v10kto10k                                
 10     1000        1        1    0.057   0.064   0.091   3.512   0.111   0.057   0.064  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 23      100        1      100    1.079   2.949   5.551   6.251   0.734   0.011   0.029 100.000 100.000   match_k100to100_m100_v100to100                                             
