resultsFileName : 2016-01-22_linux_v1.0.6_node-v0.12.7_all_1453429406710.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 16      100      100      100   96.194 119.705 198.577 235.989  16.963   0.010   0.012 100.000   1.000   filter_k100to100_m100_v100to100                                            
 12      100      100       10   12.250  18.070  26.080  26.138   6.695   0.012   0.018  54.000   0.540   filter_k10to100_m50_v100to100                                              
 33     1000     1000       11  227.487 281.949 310.842 433.122  26.143   0.021   0.026  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 29     1000      100        1    0.859  13.198  14.694  17.923   3.935   0.009   0.132  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 46     1000    10000        1  351.778 496.084 585.177 856.064  74.372   0.035   0.050 100.000   1.901   filter_k1to100_charDotStar_v1kto10k                                        
 21     1000     1000        1   22.245  39.110  46.963  56.507   8.643   0.022   0.039 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
  1      100      100        1    0.461  45.402  92.822 106.849  16.786   0.005   0.454  56.000   0.560   filter_k1to100_m50_v100to100                                               
 37     1000     1000        1   22.457  64.800  83.917 179.889  19.181   0.022   0.065  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
  2      100      100        1    0.361  25.827  35.341  36.321   7.597   0.004   0.258  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 40     1000     1000        1   19.936  38.823  43.157  85.536   9.265   0.020   0.039  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 22      100      100        1    0.273  11.027  15.697  16.069   3.066   0.003   0.110  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 20     1000     1000        1    5.230  17.935  25.716  35.419   6.826   0.005   0.018  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 18      100        1        1    0.026   0.032   0.056   0.070   0.005   0.026   0.032  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 27    10000        1        1    0.027   0.071   0.096  19.938   0.814   0.027   0.071  50.020  50.020   matchSimple_k1to100_m50_v10kto10k                                          
 17     1000        1        1    0.027   0.061   0.089  40.913   1.528   0.027   0.061  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 23      100        1        1    0.018   0.024   5.186   8.292   0.823   0.018   0.024  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 14    10000        1        1    0.019   0.020   0.030  15.491   0.614   0.019   0.020  50.630  50.630   matchSimple_k1to1_pWord_tWord_m50_v10kto10k                                
 19     1000        1        1    0.018   0.020   0.031  16.885   0.708   0.018   0.020  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
  3      100        1      100    0.543   8.368  14.457  15.399   2.804   0.005   0.084 100.000 100.000   match_k100to100_m100_v100to100                                             
 38    10000        1      100    0.647  17.109  21.071 223.462   6.913   0.006   0.171 100.000 100.000   match_k100to100_m100_v10kto10k                                             
 43     1000        1      100    0.637  18.156  21.290 119.461   8.002   0.006   0.182 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 35      100        1       10    0.071   0.148  33.922  44.528   4.951   0.007   0.015  54.000  54.000   match_k10to100_m50_v100to100                                               
  8    10000        1       10    0.071   0.102   8.250  34.802   1.295   0.007   0.010  49.910  49.910   match_k10to100_m50_v10kto10k                                               
 44     1000        1       11    0.066   0.512  16.442 401.488  12.870   0.006   0.047  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
  5      100        1        1    0.008   0.014   6.071   8.216   0.852   0.008   0.014  56.000  56.000   match_k1to100_m50_v100to100                                                
 31    10000        1        1    0.009   0.013   0.018  15.560   0.383   0.009   0.013  50.020  50.020   match_k1to100_m50_v10kto10k                                                
 28     1000        1        1    0.009   0.032   0.053  19.764   0.738   0.009   0.032  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
  6      100        1        1    0.003   0.004   0.009   0.011   0.001   0.003   0.004  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 25     1000        1        1    0.004   0.005   0.005  16.070   0.508   0.004   0.005  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
  0      100        1        1    0.004   0.105   8.531  13.311   1.325   0.004   0.105  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 39   100000        1        1    0.004   0.010   0.015  20.796   0.616   0.004   0.010  50.153  50.153   match_k1to1_pString_tString_m50_v10kto10k                                  
 24     1000        1        1    0.004   0.004   0.007  12.291   0.548   0.004   0.004  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 10      100        1        1    0.003   0.004   0.010   0.013   0.001   0.003   0.004  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 34    10000        1        1    0.004   0.011   0.015  38.641   0.728   0.004   0.011  50.630  50.630   match_k1to1_pWord_tWord_m50_v10kto10k                                      
  4     1000        1        1    0.003   0.004   0.006  12.335   0.390   0.003   0.004  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 41      100        1        1    0.007   0.026   0.051   0.051   0.010   0.007   0.026  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
  7    10000        1        1    0.007   0.024   0.035  13.031   0.454   0.007   0.024  49.820  49.820   regMatch_k1to1_pRegDotStar_tWord_m50_v10kto10k                             
 13     1000        1        1    0.008   0.023   0.031   0.177   0.009   0.008   0.023  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 26      100        1        1    0.013   0.026   0.057   0.059   0.010   0.013   0.026  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 36    10000        1        1    0.016   0.022   0.056  39.939   1.097   0.016   0.022  42.020  42.020   regMatch_k1to1_pRegDot_tWord_m50_v10kto10k                                 
 32     1000        1        1    0.016   0.021   0.044  16.320   0.515   0.016   0.021  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 45      100        1        1    0.006   0.027   8.061  12.313   1.228   0.006   0.027  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
 30    10000        1        1    0.005   0.007   0.017  15.747   0.362   0.005   0.007  50.350  50.350   regMatch_k1to1_pRegMidStr_tWord_m50_v10kto10k                              
  9     1000        1        1    0.005   0.006   0.009   0.051   0.002   0.005   0.006  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 11      100        1        1    0.007   0.008   0.144   0.221   0.021   0.007   0.008  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 42    10000        1        1    0.022   0.035   0.075  41.369   1.438   0.022   0.035   0.000      -    regMatch_k1to1_pRegPhone_tPhone_m50_v10kto10k                              
 15     1000        1        1    0.007   0.009   0.019  12.254   0.465   0.007   0.009  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
