resultsFileName : 2016-01-23_linux_v1.0.6_node-v4.2.4_all_1453575616176.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
  7      100      100      100   61.322  64.415  65.165  65.192   1.952   0.006   0.006 100.000   1.000   filter_k100to100_m100_v100to100                                            
  0      100      100       10    5.516   6.610  12.915  15.526   1.152   0.006   0.007  54.000   0.540   filter_k10to100_m50_v100to100                                              
  4     1000     1000       11   62.192  68.808  72.746 168.513   6.914   0.006   0.006  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 22     1000      100        1    1.173   1.645   2.472   5.710   0.324   0.012   0.016  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 18     1000     1000        1   13.046  17.173  18.793  23.963   2.134   0.013   0.017 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 17      100      100        1    0.670   0.937   4.393   5.071   0.527   0.007   0.009  56.000   0.560   filter_k1to100_m50_v100to100                                               
  2     1000     1000        1    7.593   9.464  10.608  13.182   0.958   0.008   0.009  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
  3      100      100        1    0.643   1.325   1.551   1.596   0.207   0.006   0.013  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 31     1000     1000        1    6.151   8.093  23.088  37.921   3.109   0.006   0.008  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
  5      100      100        1    0.421   0.518   4.102   4.362   0.576   0.004   0.005  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 27     1000     1000        1    4.151   5.049   5.293   7.461   0.389   0.004   0.005  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 11      100        1        1    0.103   0.131   0.259   0.300   0.023   0.103   0.131  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 12     1000        1        1    0.114   0.350   0.429  11.979   0.381   0.114   0.350  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 21      100        1        1    0.085   0.109   0.159   0.167   0.014   0.085   0.109  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 10     1000        1        1    0.090   0.112   0.177   5.611   0.209   0.090   0.112  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 19      100        1      100    0.849   0.951   3.470   3.661   0.366   0.008   0.010 100.000 100.000   match_k100to100_m100_v100to100                                             
 32     1000        1      100    0.846   0.985   3.310   9.417   0.485   0.008   0.010 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 20      100        1       10    0.097   0.128   0.212   0.258   0.020   0.010   0.013  54.000  54.000   match_k10to100_m50_v100to100                                               
 23     1000        1       11    0.107   0.404   0.595  91.430   2.902   0.010   0.037  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 33      100        1        1    0.018   0.023   0.033   0.034   0.003   0.018   0.023  56.000  56.000   match_k1to100_m50_v100to100                                                
 15     1000        1        1    0.018   0.032   0.036   0.072   0.005   0.018   0.032  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
  8      100        1        1    0.013   0.026   0.041   0.045   0.005   0.013   0.026  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 29     1000        1        1    0.012   0.019   0.027   1.994   0.063   0.012   0.019  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
  9      100        1        1    0.013   0.016   0.027   0.031   0.002   0.013   0.016  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 34     1000        1        1    0.012   0.025   0.028   3.649   0.115   0.012   0.025  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
  1      100        1        1    0.014   0.027   0.300   0.405   0.041   0.014   0.027  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 16     1000        1        1    0.013   0.026   0.027   0.111   0.005   0.013   0.026  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 14      100        1        1    0.022   0.044   0.052   0.056   0.010   0.022   0.044  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 24     1000        1        1    0.021   0.043   0.053   0.631   0.022   0.021   0.043  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 28      100        1        1    0.032   0.049   0.070   0.070   0.011   0.032   0.049  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 25     1000        1        1    0.033   0.049   0.054   0.136   0.011   0.033   0.049  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
  6      100        1        1    0.018   0.033   0.558   0.862   0.084   0.018   0.033  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
 13     1000        1        1    0.020   0.032   0.038   0.713   0.026   0.020   0.032  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 26      100        1        1    0.018   0.030   0.146   0.208   0.019   0.018   0.030  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 30     1000        1        1    0.017   0.030   0.031   0.035   0.004   0.017   0.030  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
