resultsFileName : 2016-01-23_linux_v1.0.6_node-v4.2.4_all_1453561200313.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
  8      100      100      100   50.202  52.285  53.503  53.668   1.424   0.005   0.005 100.000   1.000   filter_k100to100_m100_v100to100                                            
  0      100      100       10    5.217   6.280  11.897  14.394   1.041   0.005   0.006  54.000   0.540   filter_k10to100_m50_v100to100                                              
 11     1000     1000       11   56.340  61.969  65.923 181.094   6.749   0.005   0.006  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 34     1000      100        1    1.142   1.627   2.779   5.627   0.363   0.011   0.016  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 31     1000     1000        1   12.632  16.674  18.127  23.183   2.096   0.013   0.017 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 30      100      100        1    0.649   0.985   3.433   3.883   0.410   0.006   0.010  56.000   0.560   filter_k1to100_m50_v100to100                                               
  1     1000     1000        1    7.280  10.198  17.464  26.269   2.082   0.007   0.010  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 15      100      100        1    0.619   0.904   4.083   4.739   0.522   0.006   0.009  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
  3     1000     1000        1    8.239   9.592  10.450  17.769   0.691   0.008   0.010  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 17      100      100        1    0.425   0.599   3.426   3.477   0.475   0.004   0.006  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
  7     1000     1000        1    5.224   6.369   6.647   8.862   0.483   0.005   0.006  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
  6      100        1        1    0.104   0.126   1.835   2.144   0.236   0.104   0.126  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 21     1000        1        1    0.099   0.123   0.146  10.267   0.322   0.099   0.123  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 10      100        1        1    0.092   0.115   0.606   0.859   0.077   0.092   0.115  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 12     1000        1        1    0.089   0.110   0.124   2.909   0.092   0.089   0.110  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 20      100        1      100    0.815   0.915   5.545   6.150   0.732   0.008   0.009 100.000 100.000   match_k100to100_m100_v100to100                                             
 27     1000        1      100    0.813   1.557   2.702   3.576   0.359   0.008   0.016 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 13      100        1       10    0.087   0.113   0.126   0.127   0.012   0.009   0.011  54.000  54.000   match_k10to100_m50_v100to100                                               
  2     1000        1       11    0.099   0.124   0.174   2.615   0.085   0.009   0.011  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 24      100        1        1    0.018   0.029   0.035   0.036   0.004   0.018   0.029  56.000  56.000   match_k1to100_m50_v100to100                                                
 23     1000        1        1    0.017   0.031   0.035  10.041   0.317   0.017   0.031  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 29      100        1        1    0.013   0.025   0.031   0.033   0.004   0.013   0.025  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 19     1000        1        1    0.013   0.016   0.026   0.131   0.005   0.013   0.016  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
  4      100        1        1    0.013   0.021   0.058   0.077   0.007   0.013   0.021  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 18     1000        1        1    0.012   0.024   0.026   0.149   0.005   0.012   0.024  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 26      100        1        1    0.012   0.025   0.026   0.026   0.003   0.012   0.025  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 32     1000        1        1    0.013   0.025   0.027   2.204   0.069   0.013   0.025  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
  5      100        1        1    0.020   0.052   0.058   0.059   0.011   0.020   0.052  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 25     1000        1        1    0.020   0.046   0.055   0.175   0.012   0.020   0.046  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 22      100        1        1    0.033   0.055   0.075   0.076   0.013   0.033   0.055  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 28     1000        1        1    0.034   0.051   0.061   2.866   0.093   0.034   0.051  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 14      100        1        1    0.018   0.033   0.512   0.788   0.077   0.018   0.033  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
  9     1000        1        1    0.018   0.031   0.033   1.736   0.055   0.018   0.031  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 16      100        1        1    0.018   0.031   0.146   0.205   0.019   0.018   0.031  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 33     1000        1        1    0.017   0.030   0.032   3.454   0.109   0.017   0.030  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
