resultsFileName : 2016-01-23_linux_v1.0.6_node-v4.2.4_all_1453567896997.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 31      100      100      100   42.210  43.855  45.685  46.490   0.925   0.004   0.004 100.000   1.000   filter_k100to100_m100_v100to100                                            
 23      100      100       10    4.092   8.813  10.292  10.336   1.921   0.004   0.009  54.000   0.540   filter_k10to100_m50_v100to100                                              
  8     1000     1000       11   49.300  55.402  58.405  75.174   3.374   0.004   0.005  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
  7     1000      100        1    0.788   1.214   2.545   5.025   0.364   0.008   0.012  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
  1     1000     1000        1    7.145   9.677  11.122  14.854   1.509   0.007   0.010 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 28      100      100        1    0.517   0.638   2.821   2.914   0.336   0.005   0.006  56.000   0.560   filter_k1to100_m50_v100to100                                               
  2     1000     1000        1    6.429   8.082   8.742  14.480   0.847   0.006   0.008  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 13      100      100        1    0.371   0.434   5.652   6.156   0.824   0.004   0.004  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
  5     1000     1000        1    3.500   4.727   4.934   7.636   0.515   0.003   0.005  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 32      100      100        1    0.288   0.352   2.108   2.172   0.259   0.003   0.004  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 27     1000     1000        1    2.758   3.646   3.818   4.870   0.366   0.003   0.004  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
  6      100        1        1    0.059   0.080   1.186   1.359   0.154   0.059   0.080  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 24     1000        1        1    0.058   0.073   0.091   0.706   0.030   0.058   0.073  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 10      100        1        1    0.048   0.062   0.102   0.110   0.009   0.048   0.062  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 26     1000        1        1    0.047   0.057   0.075   0.188   0.009   0.047   0.057  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 14      100        1      100    0.603   0.690   7.532   7.868   1.085   0.006   0.007 100.000 100.000   match_k100to100_m100_v100to100                                             
  3     1000        1      100    0.614   0.690   3.233  92.317   2.931   0.006   0.007 100.000 100.000   match_k100to100_m100_v1kto1k                                               
  4      100        1       10    0.067   0.083   0.098   0.099   0.008   0.007   0.008  54.000  54.000   match_k10to100_m50_v100to100                                               
 20     1000        1       11    0.071   0.091   0.107  12.087   0.563   0.006   0.008  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 16      100        1        1    0.010   0.013   0.035   0.043   0.004   0.010   0.013  56.000  56.000   match_k1to100_m50_v100to100                                                
 12     1000        1        1    0.010   0.014   0.021   0.029   0.002   0.010   0.014  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
  0      100        1        1    0.004   0.097   0.905   1.031   0.129   0.004   0.097  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 33     1000        1        1    0.004   0.005   0.015   0.578   0.018   0.004   0.005  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
 19      100        1        1    0.003   0.011   0.016   0.016   0.003   0.003   0.011  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 15     1000        1        1    0.003   0.004   0.015   5.245   0.166   0.003   0.004  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 18      100        1        1    0.003   0.005   0.022   0.023   0.003   0.003   0.005  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 21     1000        1        1    0.003   0.004   0.008   0.131   0.004   0.003   0.004  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 22      100        1        1    0.005   0.006   0.016   0.021   0.002   0.005   0.006  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 29     1000        1        1    0.008   0.025   0.034   0.110   0.009   0.008   0.025  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
  9      100        1        1    0.017   0.026   0.050   0.058   0.009   0.017   0.026  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 25     1000        1        1    0.018   0.024   0.033   0.493   0.017   0.018   0.024  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 30      100        1        1    0.006   0.017   0.021   0.023   0.003   0.006   0.017  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
 17     1000        1        1    0.005   0.007   0.018   6.316   0.199   0.005   0.007  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 34      100        1        1    0.008   0.019   0.139   0.203   0.020   0.008   0.019  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 11     1000        1        1    0.008   0.009   0.019   0.189   0.008   0.008   0.009  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
