resultsFileName : 2016-01-23_linux_v1.0.6_node-v4.2.4_all_1453567810684.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 33      100      100      100   43.460  44.807  46.635  47.220   0.876   0.004   0.004 100.000   1.000   filter_k100to100_m100_v100to100                                            
 20      100      100       10    4.036   9.717  11.319  11.334   2.341   0.004   0.010  54.000   0.540   filter_k10to100_m50_v100to100                                              
 18     1000     1000       11   49.412  56.215  59.699  95.647   4.009   0.004   0.005  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 12     1000      100        1    0.818   1.275   2.114   3.873   0.292   0.008   0.013  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 22     1000     1000        1    9.892  13.356  15.824  71.263   2.857   0.010   0.013 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 25      100      100        1    0.525   0.689   3.460   3.625   0.445   0.005   0.007  56.000   0.560   filter_k1to100_m50_v100to100                                               
 30     1000     1000        1    6.797   8.892   9.725  11.845   1.009   0.007   0.009  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 15      100      100        1    0.363   0.417   3.320   3.498   0.417   0.004   0.004  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
  2     1000     1000        1    3.455   7.356  10.068  14.541   1.255   0.003   0.007  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 29      100      100        1    0.296   0.336   2.050   2.201   0.275   0.003   0.003  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 23     1000     1000        1    2.906   4.619   4.793   4.951   0.701   0.003   0.005  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
  6      100        1        1    0.060   0.082   0.585   0.803   0.076   0.060   0.082  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 24     1000        1        1    0.058   0.068   0.090   8.181   0.257   0.058   0.068  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 31      100        1        1    0.048   0.058   0.108   0.119   0.009   0.048   0.058  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 32     1000        1        1    0.047   0.059   0.080   1.061   0.033   0.047   0.059  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 13      100        1      100    0.608   0.689   7.127   8.639   0.968   0.006   0.007 100.000 100.000   match_k100to100_m100_v100to100                                             
  3     1000        1      100    0.592   0.638   2.695   8.177   0.419   0.006   0.006 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 14      100        1       10    0.067   0.082   0.095   0.101   0.007   0.007   0.008  54.000  54.000   match_k10to100_m50_v100to100                                               
  5     1000        1       11    0.071   0.085   0.101   3.412   0.132   0.006   0.008  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
  7      100        1        1    0.011   0.014   0.024   0.025   0.003   0.011   0.014  56.000  56.000   match_k1to100_m50_v100to100                                                
  9     1000        1        1    0.010   0.019   0.026   0.073   0.004   0.010   0.019  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
  0      100        1        1    0.004   0.095   0.898   1.022   0.128   0.004   0.095  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
  1     1000        1        1    0.004   0.006   0.014   1.610   0.064   0.004   0.006  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
  8      100        1        1    0.003   0.004   0.012   0.016   0.001   0.003   0.004  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 27     1000        1        1    0.003   0.004   0.006   0.846   0.032   0.003   0.004  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 34      100        1        1    0.003   0.004   0.026   0.032   0.003   0.003   0.004  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 10     1000        1        1    0.003   0.004   0.012   0.084   0.003   0.003   0.004  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 11      100        1        1    0.008   0.023   0.035   0.040   0.007   0.008   0.023  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
  4     1000        1        1    0.008   0.023   0.025   0.064   0.007   0.008   0.023  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 26      100        1        1    0.011   0.024   0.056   0.060   0.009   0.011   0.024  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 16     1000        1        1    0.017   0.024   0.035   0.224   0.010   0.017   0.024  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 28      100        1        1    0.005   0.008   0.026   0.026   0.003   0.005   0.008  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
 19     1000        1        1    0.005   0.006   0.010   4.816   0.153   0.005   0.006  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 17      100        1        1    0.008   0.015   0.118   0.177   0.017   0.008   0.015  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 21     1000        1        1    0.008   0.010   0.020   5.110   0.161   0.008   0.010  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
