resultsFileName : 2016-01-25_win32_v1.0.7_node-v0.12.3_v100to1k_1453732424103.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 32      100      100      100   41.367  44.634  46.368  46.571   2.036   0.004   0.004 100.000   1.000   filter_k100to100_m100_v100to100                                            
 31      100      100       10    3.262  10.330  11.592  11.787   2.884   0.003   0.010  54.000   0.540   filter_k10to100_m50_v100to100                                              
 13     1000     1000       11   40.228  47.903  53.229  73.467   4.073   0.004   0.004  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 20     1000      100        1    0.585   1.009   7.366   9.175   1.154   0.006   0.010  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
  6     1000    10000        1   67.943  91.063 104.340 150.653  12.642   0.007   0.009 100.000   1.901   filter_k1to100_charDotStar_v1kto10k                                        
 25     1000     1000        1    6.850  13.978  15.555  21.417   3.351   0.007   0.014 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
  8      100      100        1    0.406   0.874   3.066   3.096   0.436   0.004   0.009  56.000   0.560   filter_k1to100_m50_v100to100                                               
 19     1000     1000        1    4.312  11.255  12.877  18.918   3.049   0.004   0.011  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
  2      100      100        1    0.413   1.308   2.485   2.529   0.410   0.004   0.013  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 26     1000     1000        1    3.590  11.784  19.062  58.240   4.347   0.004   0.012  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
  4      100      100        1    0.265   0.880   3.568   4.060   0.480   0.003   0.009  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 30     1000     1000        1    2.753   9.953  12.558  24.182   3.282   0.003   0.010  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
  3      100        1        1    0.027   0.048   0.216   0.279   0.028   0.027   0.048  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 14     1000        1        1    0.023   0.043   0.084   2.576   0.083   0.023   0.043  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 27      100        1        1    0.020   0.028   0.067   0.088   0.008   0.020   0.028  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
  5     1000        1        1    0.018   0.063   0.147   1.744   0.065   0.018   0.063  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 18      100        1      100    0.495   0.731   7.130   7.949   0.905   0.005   0.007 100.000 100.000   match_k100to100_m100_v100to100                                             
 28     1000        1      100    0.471   0.835   6.048   6.786   0.808   0.005   0.008 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 21      100        1       10    0.056   0.085   0.265   0.287   0.033   0.006   0.009  54.000  54.000   match_k10to100_m50_v100to100                                               
 17     1000        1       11    0.052   0.082   0.120  13.004   0.437   0.005   0.007  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
  1      100        1        1    0.008   0.028   0.156   0.163   0.021   0.008   0.028  56.000  56.000   match_k1to100_m50_v100to100                                                
 33     1000        1        1    0.006   0.011   0.018  15.630   0.621   0.006   0.011  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 16      100        1        1    0.003   0.005   0.011   0.014   0.001   0.003   0.005  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 23     1000        1        1    0.004   0.014   0.031   0.309   0.012   0.004   0.014  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
  9      100        1        1    0.002   0.004   0.010   0.011   0.001   0.002   0.004  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 29     1000        1        1    0.003   0.003   0.004   5.463   0.173   0.003   0.003  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 12      100        1        1    0.003   0.003   0.010   0.013   0.001   0.003   0.003  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
  7     1000        1        1    0.002   0.004   0.008   0.178   0.007   0.002   0.004  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 35      100        1        1    0.005   0.021   0.038   0.041   0.007   0.005   0.021  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 11     1000        1        1    0.006   0.024   0.049   0.675   0.027   0.006   0.024  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 24      100        1        1    0.014   0.032   0.049   0.058   0.010   0.014   0.032  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 10     1000        1        1    0.014   0.021   0.043   0.284   0.012   0.014   0.021  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 22      100        1        1    0.004   0.007   0.021   0.024   0.003   0.004   0.007  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
 15     1000        1        1    0.004   0.008   0.022  12.397   0.392   0.004   0.008  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 34      100        1        1    0.004   0.005   0.111   0.169   0.016   0.004   0.005  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
  0     1000        1        1    0.006   0.014   0.065   1.112   0.050   0.006   0.014  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
