resultsFileName : 2016-01-28_linux_v1.0.6_node-v5.4.1_v100to1k_1453990153352.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 27      100      100      100   45.287  47.424  48.675  48.909   1.360   0.005   0.005 100.000   1.000   filter_k100to100_m100_v100to100                                            
 21      100      100       10    3.919   5.035   6.802   7.508   0.588   0.004   0.005  54.000   0.540   filter_k10to100_m50_v100to100                                              
 24     1000     1000       11   46.771  52.121  57.650 132.004   5.707   0.004   0.005  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 15     1000      100        1    0.790   1.198   1.903   4.250   0.267   0.008   0.012  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
  8     1000     1000        1    8.853  12.715  14.352  15.549   1.892   0.009   0.013 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
  0      100      100        1    0.474   1.258   4.175   4.984   0.559   0.005   0.013  56.000   0.560   filter_k1to100_m50_v100to100                                               
  4     1000     1000        1    5.668   6.914   7.548  16.052   0.728   0.006   0.007  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 25      100      100        1    0.428   0.683   4.314   4.429   0.593   0.004   0.007  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 16     1000     1000        1    5.016   6.283   6.616   7.162   0.507   0.005   0.006  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 17      100      100        1    0.343   0.435   1.946   1.994   0.245   0.003   0.004  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 12     1000     1000        1    4.175   5.261   5.585   6.532   0.444   0.004   0.005  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 13      100        1        1    0.056   0.088   0.889   0.966   0.115   0.056   0.088  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 19     1000        1        1    0.058   0.078   0.099   7.781   0.246   0.058   0.078  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
  3      100        1        1    0.048   0.070   0.329   0.372   0.039   0.048   0.070  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 22     1000        1        1    0.049   0.064   0.076   0.221   0.012   0.049   0.064  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
  7      100        1      100    0.606   0.740   3.090   3.110   0.406   0.006   0.007 100.000 100.000   match_k100to100_m100_v100to100                                             
 31     1000        1      100    0.608   0.695   2.473   6.178   0.362   0.006   0.007 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 33      100        1       10    0.064   0.096   2.430   3.758   0.368   0.006   0.010  54.000  54.000   match_k10to100_m50_v100to100                                               
 28     1000        1       11    0.071   0.082   0.094  10.445   0.409   0.006   0.007  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 29      100        1        1    0.010   0.016   0.117   0.169   0.016   0.010   0.016  56.000  56.000   match_k1to100_m50_v100to100                                                
 14     1000        1        1    0.011   0.016   0.024   0.039   0.003   0.011   0.016  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 20      100        1        1    0.006   0.008   0.017   0.017   0.002   0.006   0.008  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 18     1000        1        1    0.007   0.008   0.018   2.254   0.071   0.007   0.008  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
 10      100        1        1    0.006   0.011   0.028   0.034   0.003   0.006   0.011  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
  9     1000        1        1    0.006   0.008   0.019   0.100   0.004   0.006   0.008  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 23      100        1        1    0.006   0.008   0.445   0.707   0.070   0.006   0.008  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 34     1000        1        1    0.006   0.007   0.017   3.603   0.114   0.006   0.007  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 26      100        1        1    0.007   0.012   0.031   0.037   0.004   0.007   0.012  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
  6     1000        1        1    0.011   0.029   0.038   0.664   0.030   0.011   0.029  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
  5      100        1        1    0.017   0.037   0.657   0.674   0.089   0.017   0.037  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 32     1000        1        1    0.021   0.032   0.039   2.591   0.082   0.021   0.032  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
  1      100        1        1    0.009   0.022   0.291   0.353   0.038   0.009   0.022  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
  2     1000        1        1    0.008   0.019   0.022   1.003   0.049   0.008   0.019  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 11      100        1        1    0.008   0.020   0.117   0.175   0.017   0.008   0.020  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 30     1000        1        1    0.008   0.010   0.015   0.181   0.006   0.008   0.010  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
