resultsFileName : 2016-01-28_linux_v1.0.6_node-v6.0.0-pre_v100to1k_1453990406906.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
  4      100      100      100   57.355  60.247  64.124  65.570   4.419   0.006   0.006 100.000   1.000   filter_k100to100_m100_v100to100                                            
 34      100      100       10    5.109  13.129  17.247  17.412   2.790   0.005   0.013  54.000   0.540   filter_k10to100_m50_v100to100                                              
 32     1000     1000       11   64.076  71.100  76.526 269.265  14.825   0.006   0.006  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
  6     1000      100        1    1.142   1.731   9.366  11.170   1.047   0.011   0.017  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
  8     1000     1000        1   12.938  22.836  25.433  94.200   4.876   0.013   0.023 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
  1      100      100        1    0.694   1.441   8.273   8.858   1.071   0.007   0.014  56.000   0.560   filter_k1to100_m50_v100to100                                               
 21     1000     1000        1    8.181  16.289  17.655  20.281   2.590   0.008   0.016  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 15      100      100        1    0.571   0.699   5.981   8.858   0.829   0.006   0.007  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 13     1000     1000        1    5.456  13.490  14.434  15.752   2.097   0.005   0.013  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 17      100      100        1    0.418   0.885   5.797   8.599   0.823   0.004   0.009  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 19     1000     1000        1    4.179  12.290  14.044  26.284   2.590   0.004   0.012  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 29      100        1        1    0.115   0.158   0.254   0.262   0.024   0.115   0.158  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
  2     1000        1        1    0.132   0.257   0.861   9.086   0.536   0.132   0.257  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 25      100        1        1    0.098   0.139   0.196   0.197   0.020   0.098   0.139  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 20     1000        1        1    0.098   0.122   0.151   8.266   0.259   0.098   0.122  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 23      100        1      100    0.783   0.881   7.726   9.077   0.975   0.008   0.009 100.000 100.000   match_k100to100_m100_v100to100                                             
  7     1000        1      100    0.790   0.928   3.773   9.141   0.820   0.008   0.009 100.000 100.000   match_k100to100_m100_v1kto1k                                               
  0      100        1       10    0.115   0.548   2.677   3.217   0.367   0.011   0.055  54.000  54.000   match_k10to100_m50_v100to100                                               
 18     1000        1       11    0.095   0.120   0.177  10.770   0.486   0.009   0.011  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 22      100        1        1    0.015   0.019   0.030   0.031   0.003   0.015   0.019  56.000  56.000   match_k1to100_m50_v100to100                                                
 12     1000        1        1    0.015   0.029   0.300   1.501   0.061   0.015   0.029  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 11      100        1        1    0.006   0.007   0.018   0.019   0.002   0.006   0.007  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 26     1000        1        1    0.006   0.009   0.020   0.116   0.005   0.006   0.009  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
 27      100        1        1    0.006   0.015   0.020   0.020   0.003   0.006   0.015  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 33     1000        1        1    0.005   0.018   0.020   0.079   0.004   0.005   0.018  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 28      100        1        1    0.006   0.019   0.029   0.033   0.005   0.006   0.019  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 16     1000        1        1    0.005   0.008   0.019   0.095   0.004   0.005   0.008  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 14      100        1        1    0.013   0.045   0.073   0.075   0.014   0.013   0.045  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 31     1000        1        1    0.008   0.020   0.025   2.110   0.067   0.008   0.020  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 30      100        1        1    0.024   0.046   0.085   0.093   0.014   0.024   0.046  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
  3     1000        1        1    0.027   0.043   0.214   0.610   0.050   0.027   0.043  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 10      100        1        1    0.010   0.013   0.029   0.035   0.003   0.010   0.013  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
  9     1000        1        1    0.010   0.016   0.029   0.572   0.019   0.010   0.016  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
  5      100        1        1    0.014   0.029   0.512   0.684   0.070   0.014   0.029  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 24     1000        1        1    0.010   0.014   0.024   1.523   0.048   0.010   0.014  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
