resultsFileName : 2016-01-28_win32_v1.0.6_node-v0.12.3_v100to1k_1453987955112.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
  9      100      100      100   36.019  39.722  41.323  41.336   2.142   0.004   0.004 100.000   1.000   filter_k100to100_m100_v100to100                                            
 35      100      100       10    3.269  11.042  13.572  13.849   3.228   0.003   0.011  54.000   0.540   filter_k10to100_m50_v100to100                                              
 11     1000     1000       11   40.607  46.641  51.436  53.591   3.501   0.004   0.004  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 34     1000      100        1    0.575   1.184   7.868  14.034   1.330   0.006   0.012  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
  7     1000    10000        1   79.706 116.213 131.412 325.804  20.077   0.008   0.012 100.000   1.901   filter_k1to100_charDotStar_v1kto10k                                        
 27     1000     1000        1    6.946  14.872  16.171  24.029   3.695   0.007   0.015 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 19      100      100        1    0.411   0.942   9.961  10.564   1.318   0.004   0.009  56.000   0.560   filter_k1to100_m50_v100to100                                               
 22     1000     1000        1    4.311  11.987  13.004  24.542   3.358   0.004   0.012  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 23      100      100        1    0.369   1.221  10.533  11.045   1.408   0.004   0.012  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 15     1000     1000        1    3.398  10.638  11.291  18.109   3.200   0.003   0.011  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 25      100      100        1    0.273   0.544  12.237  14.707   1.768   0.003   0.005  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 16     1000     1000        1    2.653  10.276  10.894  13.003   3.261   0.003   0.010  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
  6      100        1        1    0.025   0.039   0.070   0.086   0.008   0.025   0.039  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
  1     1000        1        1    0.025   0.057   0.168   0.822   0.040   0.025   0.057  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 20      100        1        1    0.033   0.049   0.196   0.276   0.026   0.033   0.049  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 13     1000        1        1    0.030   0.064   0.231   5.336   0.172   0.030   0.064  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 28      100        1      100    0.505   0.907   6.945   7.073   1.077   0.005   0.009 100.000 100.000   match_k100to100_m100_v100to100                                             
 33     1000        1      100    0.469   0.804   6.271  19.107   1.062   0.005   0.008 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 14      100        1       10    0.056   0.166   0.225   0.236   0.035   0.006   0.017  54.000  54.000   match_k10to100_m50_v100to100                                               
  2     1000        1       11    0.056   0.120   0.247   0.682   0.041   0.005   0.011  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 26      100        1        1    0.009   0.020   4.926   7.887   0.784   0.009   0.020  56.000  56.000   match_k1to100_m50_v100to100                                                
 17     1000        1        1    0.007   0.014   0.028   0.085   0.005   0.007   0.014  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
  8      100        1        1    0.003   0.011   0.037   0.049   0.005   0.003   0.011  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
  0     1000        1        1    0.004   0.011   0.073   1.303   0.059   0.004   0.011  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
 30      100        1        1    0.006   0.014   0.050   0.067   0.007   0.006   0.014  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 24     1000        1        1    0.003   0.009   0.026   0.263   0.010   0.003   0.009  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 31      100        1        1    0.004   0.018   0.043   0.052   0.007   0.004   0.018  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
  3     1000        1        1    0.003   0.006   0.012   0.075   0.003   0.003   0.006  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 12      100        1        1    0.007   0.037   0.082   0.089   0.014   0.007   0.037  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 10     1000        1        1    0.011   0.046   0.153   3.807   0.160   0.011   0.046  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
  5      100        1        1    0.021   0.126   0.602   0.819   0.088   0.021   0.126  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 32     1000        1        1    0.016   0.043   0.092   8.485   0.268   0.016   0.043  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 29      100        1        1    0.008   0.015   0.042   0.050   0.006   0.008   0.015  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
 18     1000        1        1    0.005   0.013   0.033   0.176   0.008   0.005   0.013  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
  4      100        1        1    0.011   0.020   0.296   0.426   0.042   0.011   0.020  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 21     1000        1        1    0.006   0.020   0.035   0.407   0.018   0.006   0.020  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
