resultsFileName : 2016-01-28_win32_v1.0.6_node-v0.12.3_v10k_1453990731360.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
  8     1000    10000        1   80.009 117.420 133.103 149.327  18.357   0.008   0.012 100.000   1.901   filter_k1to100_charDotStar_v1kto10k                                        
  0    10000        1        1    0.023   0.043   0.084   9.157   0.113   0.023   0.043  50.020  50.020   matchSimple_k1to100_m50_v10kto10k                                          
 11    10000        1        1    0.016   0.031   0.061   2.805   0.059   0.016   0.031  50.630  50.630   matchSimple_k1to1_pWord_tWord_m50_v10kto10k                                
 10    10000        1      100    0.510   0.891   2.396  13.138   0.335   0.005   0.009 100.000 100.000   match_k100to100_m100_v10kto10k                                             
  2    10000        1       10    0.058   0.098   0.179   2.729   0.099   0.006   0.010  49.910  49.910   match_k10to100_m50_v10kto10k                                               
  6    10000        1        1    0.007   0.014   0.025   2.328   0.043   0.007   0.014  50.020  50.020   match_k1to100_m50_v10kto10k                                                
  4   100000        1        1    0.004   0.008   0.015   1.976   0.031   0.004   0.008  50.153  50.153   match_k1to1_pString_tString_m50_v10kto10k                                  
  3    10000        1        1    0.004   0.009   0.019   5.974   0.060   0.004   0.009  50.630  50.630   match_k1to1_pWord_tWord_m50_v10kto10k                                      
  1    10000        1        1    0.008   0.028   0.057   5.873   0.064   0.008   0.028  49.820  49.820   regMatch_k1to1_pRegDotStar_tWord_m50_v10kto10k                             
  7    10000        1        1    0.017   0.031   0.053   5.016   0.069   0.017   0.031  42.020  42.020   regMatch_k1to1_pRegDot_tWord_m50_v10kto10k                                 
  9    10000        1        1    0.004   0.011   0.023   6.619   0.088   0.004   0.011  50.350  50.350   regMatch_k1to1_pRegMidStr_tWord_m50_v10kto10k                              
  5    10000        1        1    0.018   0.032   0.054   3.946   0.066   0.018   0.032   0.000      -    regMatch_k1to1_pRegPhone_tPhone_m50_v10kto10k                              
