resultsFileName : 2016-02-08_linux_v1.0.6_node-v5.4.1_v100to1k_1454969293887.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 24     1000     1000        1    0.406   0.470   0.961   8.595   0.289   0.000   0.000 100.000   0.100   filterAsync_k1to100_fixedKey_k1d_v1kto1k                                   
 31     1000     1000        1    0.497   0.560   0.958   7.308   0.233   0.000   0.001 100.000   0.100   filterAsync_k1to100_fixedKey_k4d_v1kto1k                                   
 18      100      100      100   51.312  53.778  54.518  54.550   1.310   0.005   0.005 100.000   1.000   filter_k100to100_m100_v100to100                                            
 21      100      100       10    5.230   7.196   8.292   8.705   0.766   0.005   0.007  54.000   0.540   filter_k10to100_m50_v100to100                                              
  2     1000     1000       11   55.798  62.844 109.076 155.898   9.001   0.005   0.006  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 13     1000      100        1    1.134   1.677   2.405   2.787   0.309   0.011   0.017  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 34     1000     1000        1    9.849  13.191  23.123  48.719   2.968   0.010   0.013 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 28     1000     1000        1    3.995   5.338   5.770  13.242   0.635   0.004   0.005 100.000   0.100   filter_k1to100_fixedKey_k1d_v1kto1k                                        
  0     1000     1000        1    6.212   7.193   9.205  23.439   0.900   0.006   0.007 100.000   0.100   filter_k1to100_fixedKey_k4d_v1kto1k                                        
 25      100      100        1    0.652   0.826   3.004   3.032   0.359   0.007   0.008  56.000   0.560   filter_k1to100_m50_v100to100                                               
  3     1000     1000        1    7.616   9.036   9.742  12.649   0.827   0.008   0.009  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 12      100      100        1    0.611   0.729   2.049   2.059   0.220   0.006   0.007  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 10     1000     1000        1    7.859   9.131   9.684  18.123   0.680   0.008   0.009  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 29      100      100        1    0.436   0.514   2.352   2.421   0.287   0.004   0.005  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 27     1000     1000        1    5.682   7.189   7.602   8.299   0.616   0.006   0.007  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 37      100        1        1    0.098   0.134   0.260   0.308   0.026   0.098   0.134  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 20     1000        1        1    0.103   0.128   0.146   9.488   0.298   0.103   0.128  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
  1      100        1        1    0.019   0.034   0.321   0.354   0.042   0.019   0.034  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 35     1000        1        1    0.082   0.106   0.188   1.699   0.056   0.082   0.106  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 16      100        1      100    0.806   0.906   3.689   3.841   0.401   0.008   0.009 100.000 100.000   match_k100to100_m100_v100to100                                             
  5     1000        1      100    0.841   1.532   2.484   5.093   0.361   0.008   0.015 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 32      100        1       10    0.093   0.117   0.132   0.133   0.013   0.009   0.012  54.000  54.000   match_k10to100_m50_v100to100                                               
  4     1000        1       11    0.093   0.119   0.140   8.841   0.330   0.008   0.011  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
  6      100        1        1    0.013   0.017   1.336   2.129   0.211   0.013   0.017  56.000  56.000   match_k1to100_m50_v100to100                                                
 33     1000        1        1    0.014   0.028   0.033   0.630   0.020   0.014   0.028  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 17      100        1        1    0.010   0.014   0.021   0.023   0.002   0.010   0.014  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
